"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"d:\User_program\bs\xyyz-new\cloudfunctions\clear_chat_unread\index.js", "JavaScript", 0, 34, 12, 10, 56
"d:\User_program\bs\xyyz-new\cloudfunctions\clear_chat_unread\package.json", "JSON", 14, 0, 0, 2, 16
"d:\User_program\bs\xyyz-new\cloudfunctions\confirm_receipt\config.json", "JSON", 1, 0, 0, 1, 2
"d:\User_program\bs\xyyz-new\cloudfunctions\confirm_receipt\index.js", "JavaScript", 0, 113, 14, 23, 150
"d:\User_program\bs\xyyz-new\cloudfunctions\confirm_receipt\package.json", "JSON", 9, 0, 0, 1, 10
"d:\User_program\bs\xyyz-new\cloudfunctions\create_order\config.json", "JSON", 1, 0, 0, 1, 2
"d:\User_program\bs\xyyz-new\cloudfunctions\create_order\index.js", "JavaScript", 0, 183, 22, 29, 234
"d:\User_program\bs\xyyz-new\cloudfunctions\create_order\package.json", "JSON", 9, 0, 0, 1, 10
"d:\User_program\bs\xyyz-new\cloudfunctions\delete_comment\config.json", "JSON", 5, 0, 0, 2, 7
"d:\User_program\bs\xyyz-new\cloudfunctions\delete_comment\index.js", "JavaScript", 0, 130, 44, 30, 204
"d:\User_program\bs\xyyz-new\cloudfunctions\delete_comment\package.json", "JSON", 14, 0, 0, 2, 16
"d:\User_program\bs\xyyz-new\cloudfunctions\delete_post\config.json", "JSON", 6, 0, 0, 2, 8
"d:\User_program\bs\xyyz-new\cloudfunctions\delete_post\index.js", "JavaScript", 0, 138, 8, 29, 175
"d:\User_program\bs\xyyz-new\cloudfunctions\delete_post\package.json", "JSON", 14, 0, 0, 2, 16
"d:\User_program\bs\xyyz-new\cloudfunctions\getLogisticsTrack\config.json", "JSON", 1, 0, 0, 1, 2
"d:\User_program\bs\xyyz-new\cloudfunctions\getLogisticsTrack\index.js", "JavaScript", 0, 221, 39, 39, 299
"d:\User_program\bs\xyyz-new\cloudfunctions\getLogisticsTrack\package.json", "JSON", 9, 0, 0, 1, 10
"d:\User_program\bs\xyyz-new\cloudfunctions\get_seller_orders\config.json", "JSON", 1, 0, 0, 1, 2
"d:\User_program\bs\xyyz-new\cloudfunctions\get_seller_orders\index.js", "JavaScript", 0, 85, 13, 19, 117
"d:\User_program\bs\xyyz-new\cloudfunctions\get_seller_orders\package.json", "JSON", 9, 0, 0, 1, 10
"d:\User_program\bs\xyyz-new\cloudfunctions\login_get_openid\config.json", "JSON", 5, 0, 0, 2, 7
"d:\User_program\bs\xyyz-new\cloudfunctions\login_get_openid\index.js", "JavaScript", 0, 12, 3, 5, 20
"d:\User_program\bs\xyyz-new\cloudfunctions\login_get_openid\package.json", "JSON", 14, 0, 0, 2, 16
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_aftersale\config.json", "JSON", 1, 0, 0, 1, 2
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_aftersale\index.js", "JavaScript", 0, 509, 78, 88, 675
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_aftersale\package.json", "JSON", 9, 0, 0, 1, 10
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_chat_session\config.json", "JSON", 5, 0, 0, 1, 6
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_chat_session\index.js", "JavaScript", 0, 413, 1, 60, 474
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_chat_session\package.json", "JSON", 14, 0, 0, 1, 15
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_post\config.json", "JSON", 6, 0, 0, 2, 8
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_post\index.js", "JavaScript", 0, 180, 32, 29, 241
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_post\package.json", "JSON", 14, 0, 0, 2, 16
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_review\config.json", "JSON", 1, 0, 0, 1, 2
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_review\index.js", "JavaScript", 0, 724, 0, 113, 837
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_review\package.json", "JSON", 9, 0, 0, 1, 10
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_shopping_product\config.json", "JSON", 7, 0, 0, 1, 8
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_shopping_product\index.js", "JavaScript", 0, 616, 0, 101, 717
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_shopping_product\package.json", "JSON", 8, 0, 0, 1, 9
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_user_profile\config.json", "JSON", 5, 0, 0, 1, 6
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_user_profile\index.js", "JavaScript", 0, 238, 0, 45, 283
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_user_profile\package.json", "JSON", 8, 0, 0, 1, 9
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_workshop_home\config.json", "JSON", 8, 0, 0, 1, 9
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_workshop_home\index.js", "JavaScript", 0, 260, 9, 42, 311
"d:\User_program\bs\xyyz-new\cloudfunctions\manage_workshop_home\package.json", "JSON", 9, 0, 0, 1, 10
"d:\User_program\bs\xyyz-new\cloudfunctions\process_payment\config.json", "JSON", 5, 0, 0, 1, 6
"d:\User_program\bs\xyyz-new\cloudfunctions\process_payment\index.js", "JavaScript", 0, 110, 23, 21, 154
"d:\User_program\bs\xyyz-new\cloudfunctions\process_payment\package.json", "JSON", 14, 0, 0, 1, 15
"d:\User_program\bs\xyyz-new\cloudfunctions\quickstartFunctions\config.json", "JSON", 7, 0, 0, 0, 7
"d:\User_program\bs\xyyz-new\cloudfunctions\quickstartFunctions\index.js", "JavaScript", 0, 150, 28, 9, 187
"d:\User_program\bs\xyyz-new\cloudfunctions\quickstartFunctions\package.json", "JSON", 14, 0, 0, 1, 15
"d:\User_program\bs\xyyz-new\cloudfunctions\report_content\config.json", "JSON", 5, 0, 0, 1, 6
"d:\User_program\bs\xyyz-new\cloudfunctions\report_content\index.js", "JavaScript", 0, 82, 1, 16, 99
"d:\User_program\bs\xyyz-new\cloudfunctions\report_content\package.json", "JSON", 14, 0, 0, 1, 15
"d:\User_program\bs\xyyz-new\cloudfunctions\report_product_view\config.json", "JSON", 5, 0, 0, 1, 6
"d:\User_program\bs\xyyz-new\cloudfunctions\report_product_view\index.js", "JavaScript", 0, 32, 0, 6, 38
"d:\User_program\bs\xyyz-new\cloudfunctions\report_product_view\package.json", "JSON", 8, 0, 0, 1, 9
"d:\User_program\bs\xyyz-new\cloudfunctions\report_view\config.json", "JSON", 5, 0, 0, 2, 7
"d:\User_program\bs\xyyz-new\cloudfunctions\report_view\index.js", "JavaScript", 0, 87, 25, 21, 133
"d:\User_program\bs\xyyz-new\cloudfunctions\report_view\package.json", "JSON", 9, 0, 0, 2, 11
"d:\User_program\bs\xyyz-new\cloudfunctions\reset_mall_test_data\config.json", "JSON", 5, 0, 0, 1, 6
"d:\User_program\bs\xyyz-new\cloudfunctions\reset_mall_test_data\index.js", "JavaScript", 0, 97, 0, 21, 118
"d:\User_program\bs\xyyz-new\cloudfunctions\reset_mall_test_data\package.json", "JSON", 9, 0, 0, 1, 10
"d:\User_program\bs\xyyz-new\cloudfunctions\revoke_chat_msg\config.json", "JSON", 5, 0, 0, 2, 7
"d:\User_program\bs\xyyz-new\cloudfunctions\revoke_chat_msg\index.js", "JavaScript", 0, 66, 16, 19, 101
"d:\User_program\bs\xyyz-new\cloudfunctions\revoke_chat_msg\package.json", "JSON", 14, 0, 0, 2, 16
"d:\User_program\bs\xyyz-new\cloudfunctions\send_chat_msg\config.json", "JSON", 7, 0, 0, 2, 9
"d:\User_program\bs\xyyz-new\cloudfunctions\send_chat_msg\index.js", "JavaScript", 0, 318, 1, 47, 366
"d:\User_program\bs\xyyz-new\cloudfunctions\send_chat_msg\package.json", "JSON", 14, 0, 0, 2, 16
"d:\User_program\bs\xyyz-new\cloudfunctions\send_notification\config.json", "JSON", 7, 0, 0, 1, 8
"d:\User_program\bs\xyyz-new\cloudfunctions\send_notification\index.js", "JavaScript", 0, 69, 33, 16, 118
"d:\User_program\bs\xyyz-new\cloudfunctions\send_notification\package.json", "JSON", 9, 0, 0, 1, 10
"d:\User_program\bs\xyyz-new\cloudfunctions\ship_order\config.json", "JSON", 1, 0, 0, 1, 2
"d:\User_program\bs\xyyz-new\cloudfunctions\ship_order\index.js", "JavaScript", 0, 109, 14, 23, 146
"d:\User_program\bs\xyyz-new\cloudfunctions\ship_order\package.json", "JSON", 9, 0, 0, 1, 10
"d:\User_program\bs\xyyz-new\cloudfunctions\sync_dify_knowledge\config.json", "JSON", 6, 0, 0, 1, 7
"d:\User_program\bs\xyyz-new\cloudfunctions\sync_dify_knowledge\index.js", "JavaScript", 0, 228, 39, 44, 311
"d:\User_program\bs\xyyz-new\cloudfunctions\sync_dify_knowledge\package.json", "JSON", 10, 0, 0, 1, 11
"d:\User_program\bs\xyyz-new\cloudfunctions\trigger_ai_pipeline\config.json", "JSON", 6, 0, 0, 1, 7
"d:\User_program\bs\xyyz-new\cloudfunctions\trigger_ai_pipeline\index.js", "JavaScript", 0, 127, 13, 28, 168
"d:\User_program\bs\xyyz-new\cloudfunctions\trigger_ai_pipeline\package.json", "JSON", 10, 0, 0, 1, 11
"d:\User_program\bs\xyyz-new\cloudfunctions\update_stats\config.json", "JSON", 5, 0, 0, 2, 7
"d:\User_program\bs\xyyz-new\cloudfunctions\update_stats\index.js", "JavaScript", 0, 87, 25, 21, 133
"d:\User_program\bs\xyyz-new\cloudfunctions\update_stats\package.json", "JSON", 19, 0, 0, 2, 21
"Total", "-", 533, 6254, 517, 1170, 8474
